DATE,PRCP,SNOW,SNWD,TMAX,TMIN
2008-11-10,0.0,,76.0,1.9,-8.8
2008-11-11,0.0,,76.0,1.5,-2.9
2008-11-12,0.0,,76.0,3.1,-2.5
2008-11-13,0.0,,76.0,6.2,0.4
2008-11-14,0.0,,51.0,1.9,-3.0
2008-11-15,0.0,,51.0,9.7,-3.2
2008-11-16,0.0,,25.0,11.7,-2.6
2008-11-17,0.0,,25.0,14.5,-2.3
2008-11-18,0.0,,0.0,12.8,-2.7
2008-11-19,0.0,,0.0,11.3,-4.5
2008-11-20,0.0,,0.0,8.8,-5.6
2008-11-21,0.0,,0.0,6.1,-6.4
2008-11-22,0.0,,0.0,7.9,-7.9
2008-11-23,0.0,,0.0,4.1,-10.4
2008-11-24,0.0,,0.0,6.1,-11.6
2008-11-25,0.0,,0.0,7.6,-6.3
2008-11-26,5.1,,51.0,5.3,-6.3
2008-11-27,0.0,,51.0,2.8,-2.4
2008-11-28,0.0,,51.0,0.1,-3.6
2008-11-29,0.0,,51.0,0.8,-3.7
2008-11-30,0.0,,51.0,3.8,-0.4
2008-12-01,5.1,,0.0,8.8,-0.5
2008-12-02,2.5,,0.0,8.2,-3.4
2008-12-03,0.0,,0.0,-0.4,-7.8
2008-12-04,0.0,,0.0,-1.0,-11.0
2008-12-05,0.0,,0.0,2.4,-11.1
2008-12-06,0.0,,0.0,10.4,-4.4
2008-12-07,0.0,,0.0,7.2,-5.6
2008-12-08,7.6,,127.0,-0.1,-8.3
2008-12-09,0.0,,76.0,-0.8,-11.0
2008-12-10,0.0,,76.0,5.7,-2.6
2008-12-11,0.0,,76.0,7.0,-9.5
2008-12-12,0.0,,76.0,3.4,-10.8
2008-12-13,12.7,,203.0,2.3,-13.7
2008-12-14,0.0,,203.0,-10.2,-23.3
2008-12-15,7.6,,229.0,-11.4,-24.1
2008-12-16,2.5,,254.0,-5.7,-20.0
2008-12-17,5.1,,254.0,-4.2,-20.3
2008-12-18,5.1,,305.0,-2.6,-12.9
2008-12-19,12.7,,457.0,-1.3,-13.5
2008-12-20,0.0,,381.0,-8.3,-13.9
2008-12-21,2.5,,330.0,-2.0,-13.4
2008-12-22,12.7,,533.0,-1.8,-11.7
2008-12-23,2.5,,483.0,-6.8,-14.8
2008-12-24,5.1,,457.0,-7.9,-20.9
2008-12-25,15.2,,660.0,-4.4,-11.6
2008-12-26,7.6,,686.0,-8.0,-17.2
2008-12-27,2.5,,610.0,-4.8,-17.5
2008-12-28,0.0,,559.0,2.9,-6.7
2008-12-29,0.0,,610.0,7.7,-10.0
2008-12-30,0.0,,508.0,5.2,-11.8
2008-12-31,0.0,,508.0,8.3,-13.0
2009-01-01,2.5,,483.0,4.4,-1.4
2009-01-02,7.6,,610.0,6.8,-5.1
2009-01-03,2.5,,686.0,-5.1,-27.6
2009-01-04,0.0,,635.0,-5.1,-29.3
2009-01-05,10.2,,762.0,-4.5,-22.2
2009-01-06,5.1,,711.0,-2.2,-7.5
2009-01-07,0.0,,635.0,1.7,-2.5
2009-01-08,5.1,,686.0,8.4,-8.0
2009-01-09,2.5,,737.0,-4.1,-11.0
2009-01-10,0.0,,686.0,-2.5,-11.1
2009-01-11,0.0,,635.0,0.8,-5.0
2009-01-12,0.0,,610.0,-1.9,-4.3
2009-01-13,0.0,,610.0,3.1,-4.6
2009-01-14,0.0,,584.0,4.2,-7.4
2009-01-15,0.0,,584.0,5.9,-10.8
2009-01-16,0.0,,559.0,9.8,-10.2
2009-01-17,0.0,,584.0,8.2,-11.4
2009-01-18,0.0,,559.0,12.9,-12.4
