STATE_FIPS,ZONE,FIPS
22,10,22031
22,11,22081
22,12,22013
22,13,22049
22,14,22073
22,15,22083
22,16,22065
22,17,22085
22,18,22069
22,19,22127
22,20,22043
22,21,22021
22,22,22059
22,23,22041
22,24,22025
22,25,22107
22,26,22029
22,27,22115
22,28,22079
22,29,22009
22,30,22011
22,31,22003
22,32,22039
22,33,22097
22,34,22077
22,35,22125
22,36,22037
22,37,22091
22,39,22117
22,40,22103
22,41,22019
22,42,22053
22,43,22001
22,44,22055
22,45,22099
22,46,22047
22,47,22121
22,48,22033
22,49,22005
22,50,22063
22,52,22113
22,53,22045
22,54,22101
22,55,22099
22,56,22007
22,57,22093
22,58,22095
22,59,22057
22,60,22089
22,61,22051
22,62,22071
22,63,22075
22,64,22087
22,65,22109
22,66,22109
22,67,22057
22,68,22051
22,69,22075
22,70,22087
22,71,22105
22,72,22105
22,73,22023
22,74,22023
25,1,25003
25,2,25011
25,3,25011
25,4,25027
25,5,25017
25,6,25009
25,7,25009
25,8,25015
25,9,25013
25,10,25015
25,11,25013
25,12,25027
25,13,25021
25,14,25017
25,15,25021
25,15,25025
25,16,25021
25,17,25005
25,18,25023
25,19,25021
25,19,25023
25,20,25005
25,21,25023
25,22,25001
25,23,25007
25,24,25019
25,25,25003
25,26,25017
24,1,24023
24,3,24043
24,4,24021
24,5,24013
24,6,24005
24,8,24015
24,8,24015
24,11,24005
24,11,24005
24,11,24510
24,12,24029
24,12,24029
24,13,24033
24,14,24003
24,14,24003
24,15,24035
24,15,24035
24,16,24017
24,16,24017
24,17,24037
24,17,24037
24,18,24009
24,19,24041
24,20,24011
24,21,24019
24,22,24045
24,23,24039
24,24,24047
24,25,24047
24,501,24001
24,502,24001
24,503,24031
24,504,24031
24,505,24027
24,506,24027
24,507,24025
24,508,24025
23,1,23003
23,2,23003
23,3,23025
23,4,23021
23,5,23019
23,6,23003
23,7,23017
23,8,23007
23,9,23025
23,10,23021
23,11,23019
23,12,23017
23,13,23007
23,14,23025
23,15,23019
23,16,23009
23,17,23029
23,18,23031
23,19,23005
23,33,23005
23,20,23001
23,21,23011
23,22,23027
23,23,23031
23,24,23005
23,25,23023
23,26,23015
23,27,23013
23,28,23027
23,29,23009
23,30,23029
23,31,23021
23,32,23029
26,1,26083
26,2,26131
26,3,26061
26,4,26013
26,5,26103
26,6,26003
26,7,26095
26,9,26053
26,10,26071
26,11,26043
26,12,26109
26,13,26041
26,14,26153
26,16,26047
26,17,26031
26,18,26141
26,20,26089
26,21,26009
26,22,26137
26,23,26119
26,24,26007
26,25,26019
26,26,26055
26,27,26079
26,28,26039
26,29,26135
26,30,26001
26,31,26101
26,32,26165
26,33,26113
26,34,26143
26,35,26129
26,36,26069
26,37,26105
26,38,26085
26,39,26133
26,40,26035
26,41,26051
26,42,26011
26,43,26127
26,44,26123
26,45,26107
26,46,26073
26,47,26111
26,48,26017
26,49,26063
26,50,26121
26,51,26117
26,52,26057
26,53,26145
26,54,26157
26,55,26151
26,56,26139
26,57,26081
26,58,26067
26,59,26037
26,60,26155
26,61,26049
26,62,26087
26,63,26147
26,64,26005
26,65,26015
26,66,26045
26,67,26065
26,68,26093
26,69,26125
